recent_team,season,Air_Yards,Sack_Rate,Dakota,EPA_prior
ARI,2023,7.175715862816686,0.06458711211634158,0.06214851315872582,-8.23159504416309
ATL,2023,8.020236626620733,0.0903107598214995,0.05820899352047546,-2.860672377400977
BAL,2023,9.4114758783371,0.07244768705151883,0.13442549281287286,1.7970893874486096
BUF,2023,8.783819906440014,0.030676701632534737,0.14723032875526465,5.779967165178753
CAR,2023,7.606195028172049,0.1128782365431568,0.043268442988482606,-7.476967584847434
CHI,2023,7.471208131959006,0.10768110741331367,0.06948582477609716,-4.210553786363253
CIN,2023,6.056231438153043,0.08660870533518329,0.10539249700746012,-0.14064035376022913
CLE,2023,8.30846237566022,0.08183116446817688,0.023489969914507223,-6.87077855190571
DAL,2023,8.495248897610628,0.06805395927142839,0.16272910056443998,2.4056454493302346
DEN,2023,7.22614009459497,0.10731996167780687,0.09841596143659977,-0.9163896839656167
DET,2023,6.767655359868016,0.04528825295126627,0.12435093822687947,3.732558846623676
GB,2023,9.864270715020508,0.04641110203209048,0.13172484662795345,-0.2509464368269416
HOU,2023,8.121768052316558,0.073410925542218,0.07897381760682302,6.7711485551026955
IND,2023,7.032490507397983,0.06261802061828572,0.07101811217231241,-0.5154266661530091
JAX,2023,7.5865981139961995,0.062026645401678675,0.1162113037041301,0.1829882360825899
KC,2023,6.40081382703368,0.04261384055692934,0.10404697376394205,5.099536246836924
LA,2023,7.606325334871119,0.06308790314506454,0.07308474381013358,-0.8999706835878616
LAC,2023,7.5562545438806055,0.07815698138863482,0.06321479025369536,4.58238732115948
LV,2023,7.8893156214454905,0.111552427967178,0.07373712534394439,-2.361593245499368
MIA,2023,6.566648047511526,0.03835562429501722,0.150637732959438,7.317471980085326
MIN,2023,7.564517152467093,0.08710577150190159,0.10958541320408766,3.1317380184151022
NE,2023,7.538566120548746,0.08129261544925413,0.018337446348348434,-4.339286521281417
NO,2023,9.451052660268392,0.0559711864688248,0.09466426181917938,-0.22566785171461246
NYG,2023,6.454113774464326,0.16413040282539862,0.055645344234524864,-6.327815972930781
NYJ,2023,7.212005192166309,0.16561147727635375,-0.004662408577725705,-9.507596621550682
PHI,2023,8.42784611744325,0.07475470426317962,0.12473888963409675,4.897031825644944
PIT,2023,7.25571819117048,0.07679415793546228,0.06970050045501941,-4.272657152602658
SEA,2023,7.558345708060097,0.06385496762599678,0.08727919860487288,0.006008266827429893
SF,2023,7.405595045883461,0.048920460436995904,0.20384104040823287,5.110406099833896
TB,2023,8.324829672411232,0.06466240155628433,0.10682088237388679,3.1691338382669922
TEN,2023,9.380992941124717,0.1600079586972936,0.0733121712670774,-1.6408577656783359
WAS,2023,7.573915029473765,0.10098877546920892,0.08579501843561098,-3.0543583794585603
