recent_team,season,Air_Yards,Sack_Rate,Dakota,EPA_prior,EPA_post
ARI,2018,8.099464897425136,0.10313839293133763,0.021405590512833354,-9.279468832160978,-9.0505365987872
ARI,2019,8.435331591334633,0.1327008632848686,0.07847057127297254,0.5446714086689479,-0.7750364758316584
ARI,2020,7.864719909346358,0.055299090775200996,0.10920982992998783,3.8327772302095164,-1.5677007611764717
ARI,2021,7.063345429296879,0.05958390879595164,0.1269334000485441,6.439039317942786,-0.7316022242147693
ARI,2022,6.751100770655708,0.07323789299377732,0.04855268306644304,-2.8228756632655054,-5.1097730191598405
ATL,2018,8.513777190043037,0.06120026065897812,0.15557533393045989,8.746037659034936,4.031419476125375
ATL,2019,8.268886222637853,0.05917880000840846,0.14256873468578807,4.646203626925028,0.40288266410611107
ATL,2020,8.554487496657375,0.06323593631753738,0.11501564209606852,8.202675474536596,-0.6766483222158033
ATL,2021,7.571897796625303,0.06694768312773715,0.08291461657229117,3.86420878197898,-4.1143603817150565
ATL,2022,9.73040129296826,0.09517302435528308,0.07196501384530123,2.413803647214796,-1.3916749571909672
BAL,2018,9.063386119999743,0.048132191059009385,0.075925164095067,1.136677354788925,-0.9304369041180972
BAL,2019,8.431429533018257,0.06804401238234906,0.20707410686370564,6.658602720413367,6.516430716953134
BAL,2020,9.826101914592282,0.06213693960918814,0.12489139514647837,0.7308118019487175,2.2148572183380564
BAL,2021,8.610717335337224,0.09420046722762174,0.07643427894691486,3.2447669743647283,-2.7777958091712676
BAL,2022,8.117711554506919,0.10403393610242402,0.06981076518122127,1.5374355249713534,-2.8045135138229678
BUF,2018,9.820876894254342,0.0802954990948128,0.03196449328468861,-10.554456624510786,0.7994085147226153
BUF,2019,9.039756708667817,0.0770584850134109,0.0667652744693614,-1.5219715564605307,-1.2033472094896907
BUF,2020,8.699808570473044,0.03758349033806812,0.16846707706625905,8.786222841469222,8.213515492791615
BUF,2021,7.80553734302059,0.029682344162400755,0.12245231812842859,3.95706574801419,2.970416724520426
BUF,2022,9.506168685470273,0.05282609421809921,0.12032320408564584,5.631146354173284,4.860586100479962
CAR,2018,10.454528831794173,0.057737036219350515,0.11380795633458032,4.3214624670249275,-0.8626064137710858
CAR,2019,8.493853396687708,0.09357582323713069,0.043804760466986684,-2.5464363048137812,-4.739417450408754
CAR,2020,8.346288236799543,0.07372471832574266,0.0992912461852455,4.777067902967387,-4.078361089196128
CAR,2021,7.259676173727486,0.08945378259002451,0.010431334255418003,-5.284398970001873,-5.840133657519512
CAR,2022,7.18149828025769,0.08318459370164767,0.052594419926266546,-3.8516494690436534,0.6710113431452103
CHI,2018,8.818601873446022,0.055287069067740405,0.1345064524453515,2.5303301841204555,2.4634343471388567
CHI,2019,7.334633698080979,0.1001076981071586,0.0581969688336607,-1.0414494753732555,-2.4432531894647265
CHI,2020,8.01468083137973,0.0514149361267445,0.07242364124468552,-1.7142572395336602,1.2987590062811327
CHI,2021,8.311298647377555,0.1064842836701695,0.05721124637423053,-4.375572605362844,-4.349863582536446
CHI,2022,9.10196696960765,0.13583677368350047,0.05371448050239974,-2.879177390937424,-4.885165096929193
CIN,2018,8.342438108830054,0.06791084411491183,0.0690694412192161,4.330988043030825,-2.5862081641056553
CIN,2019,8.098593370636808,0.07836981273271364,0.031062040389774156,-2.328055930195107,-6.252631391987244
CIN,2020,8.3178308683622,0.14950832089861957,0.0865556934544289,6.639788348607959,-3.435897853317307
CIN,2021,6.794047252597921,0.0807848770735845,0.14627872244251866,3.5647901510782116,4.968723649087165
CIN,2022,6.616341125972002,0.08154975532262418,0.1329830077720167,4.6463312315551395,5.827781582172998
CLE,2018,8.848361853624558,0.06481796033846282,0.10128723522477545,-5.115600757986509,9.411810399650506
CLE,2019,9.167704306946185,0.061017880869660764,0.07211246328692598,-3.6947388181792786,1.8641819864148728
CLE,2020,8.175482152896265,0.05672667581196876,0.14219847364435279,2.3671701185851144,7.785886134909813
CLE,2021,7.87760408885603,0.08672167305325126,0.07896757533408763,2.4859551133851987,-4.4459455951259805
CLE,2022,8.889217881847971,0.07633109147129588,0.09297165669416303,2.2043399573593514,-1.8193949483048042
DAL,2018,7.507244967537173,0.10854689025917882,0.09249258135972264,-3.0135592616998057,6.0675385290075665
DAL,2019,9.22813670057944,0.0375918856096457,0.14096169712263384,10.09550164150424,5.470878255498732
DAL,2020,7.291511613551893,0.11417410433146144,0.07735827645384806,-1.1684893186865106,0.3002000953491742
DAL,2021,7.227175628986136,0.04602102055518643,0.13092690455689898,7.541153631600471,4.731883205106031
DAL,2022,8.261163154037519,0.051097113593984896,0.11299248739554607,0.28905216989420546,2.734708995742572
DEN,2018,7.538703652397945,0.057917672799730355,0.046781273558825276,-1.13898701438162,-0.765841174483123
DEN,2019,7.014886054711288,0.08613605052384558,0.06296918115205313,-2.3567802462316987,-1.4133714599117406
DEN,2020,9.356348408531233,0.06371496823918084,0.04952107991016026,-3.953743914915931,-0.9294385951862676
DEN,2021,8.335325955960315,0.07552775464603353,0.10736942847613999,5.782356488782143,-1.0132686040588772
DEN,2022,8.832321564349552,0.10609140003222205,0.04953512271266496,-3.2882496572193625,-5.312396228283619
DET,2018,6.934938118247221,0.06949976595964644,0.0622018080289209,2.2856719066561797,-2.920177206109073
DET,2019,9.661079085105674,0.0788913967470989,0.0644336797562677,8.70106145613142,-6.528321586807223
DET,2020,8.055000315287655,0.06424658980568441,0.1019608710989089,0.7653239019904372,2.0228835933566844
DET,2021,6.273439755397205,0.054092525879607035,0.07070312954862217,-4.20761393232544,0.324341881168353
